family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H2,dirichlet vs raw,cal_brier_score,dirichlet,single_mlp,36,0.14114465767431364,0.13891846686601633,-0.0002682819872498986,0.7503284176054876,1.0,False,-0.06306306306306306,small,calibrator effect within model,16,20,0
H2,temp vs raw,cal_nll,temp,mc_dropout,36,0.24554996192455292,0.2573724091053009,-0.001144554466009154,0.00014762088540010154,0.006790560728404671,True,-0.6906906906906907,large,calibrator effect within model,6,30,0
H2,temp vs raw,cal_ece_mean,temp,mc_dropout,36,0.017745665794168898,0.0275790565256702,-0.0015899362351766504,0.007377402711426839,0.22132208134280518,False,-0.5045045045045045,large,calibrator effect within model,9,27,0
H2,temp vs raw,cal_brier_score,temp,mc_dropout,36,0.13964853435754776,0.14216023683547968,-5.070120096208747e-05,0.04422121457173489,0.8402030768629629,False,-0.3843843843843844,medium,calibrator effect within model,11,25,0
H2,logistic vs raw,cal_nll,logistic,mc_dropout,36,0.2940792676217455,0.2573724091053009,0.021084478780101994,5.820766091346741e-11,4.190951585769653e-09,True,0.996996996996997,large,calibrator effect within model,35,1,0
H2,logistic vs raw,cal_ece_mean,logistic,mc_dropout,36,0.04385919693650065,0.0275790565256702,0.016226826180774347,8.143309969455004e-06,0.0004397387383505702,True,0.7897897897897898,large,calibrator effect within model,30,6,0
H2,logistic vs raw,cal_brier_score,logistic,mc_dropout,36,0.15614988556412562,0.14216023683547968,0.0032021973661782166,1.4487886801362038e-07,9.272247552871704e-06,True,0.8918918918918919,large,calibrator effect within model,31,5,0
H2,isotonic vs raw,cal_nll,isotonic,mc_dropout,36,0.31316517293453217,0.2573724091053009,0.05891722068190575,6.024492904543877e-09,4.0364102460443974e-07,True,0.948948948948949,large,calibrator effect within model,33,3,0
H2,isotonic vs raw,cal_ece_mean,isotonic,mc_dropout,36,0.01731796301316285,0.0275790565256702,-0.0014620221125938,0.11150411100243218,1.0,False,-0.3063063063063063,medium,calibrator effect within model,14,22,0
H2,isotonic vs raw,cal_brier_score,isotonic,mc_dropout,36,0.1462668478488922,0.14216023683547968,0.00014446675777438078,0.4989104079431854,1.0,False,0.13213213213213212,small,calibrator effect within model,20,16,0
H2,dirichlet vs raw,cal_nll,dirichlet,mc_dropout,36,0.2601290232473108,0.2573724091053009,-0.00044346462951060095,0.9938101398292929,1.0,False,-0.003003003003003003,small,calibrator effect within model,16,20,0
H2,dirichlet vs raw,cal_ece_mean,dirichlet,mc_dropout,36,0.020534100348181303,0.0275790565256702,-0.0015376808604826513,0.06442296883324161,1.0,False,-0.35435435435435436,medium,calibrator effect within model,14,22,0
H2,dirichlet vs raw,cal_brier_score,dirichlet,mc_dropout,36,0.143157054159085,0.14216023683547968,-0.00017748335756269384,0.9073552150803152,1.0,False,-0.024024024024024024,small,calibrator effect within model,16,20,0
H2,temp vs raw,cal_nll,temp,deep_ensemble,36,0.23401750624179835,0.2356910854578018,-0.0003906050696969414,0.009480974142206833,0.27494825012399815,False,-0.4894894894894895,medium,calibrator effect within model,10,26,0
H2,temp vs raw,cal_ece_mean,temp,deep_ensemble,36,0.016916196309972348,0.02370947238255565,-0.0021443162109002992,0.005119445180753246,0.15870280060335062,False,-0.5255255255255256,large,calibrator effect within model,11,25,0
H2,temp vs raw,cal_brier_score,temp,deep_ensemble,36,0.13264241814613342,0.1341898068785667,-0.00011474452912808505,0.011520184751134366,0.32256517303176224,False,-0.4774774774774775,medium,calibrator effect within model,9,27,0
H2,logistic vs raw,cal_nll,logistic,deep_ensemble,36,0.2796028428428403,0.2356910854578018,0.02215496134943882,5.820766091346741e-11,4.190951585769653e-09,True,0.996996996996997,large,calibrator effect within model,35,1,0
H2,logistic vs raw,cal_ece_mean,logistic,deep_ensemble,36,0.0433192913463195,0.02370947238255565,0.01565345901535945,2.297310857102275e-06,0.00013324402971193194,True,0.8258258258258259,large,calibrator effect within model,32,4,0
H2,logistic vs raw,cal_brier_score,logistic,deep_ensemble,36,0.1414870084293941,0.1341898068785667,0.003813651588511201,5.541951395571232e-07,3.269751323387027e-05,True,0.8618618618618619,large,calibrator effect within model,30,6,0
H2,isotonic vs raw,cal_nll,isotonic,deep_ensemble,36,0.30260299146175385,0.2356910854578018,0.03295618109405035,3.66999302059412e-08,2.4221953935921192e-06,True,0.918918918918919,large,calibrator effect within model,31,5,0
H2,isotonic vs raw,cal_ece_mean,isotonic,deep_ensemble,36,0.01515007133231875,0.02370947238255565,-0.0023202081413079005,0.030796389473835006,0.7083169578982051,False,-0.4114114114114114,medium,calibrator effect within model,13,23,0
H2,isotonic vs raw,cal_brier_score,isotonic,deep_ensemble,36,0.13524748384952545,0.1341898068785667,0.0006417790427804496,0.017530999641167,0.438274991029175,False,0.45045045045045046,medium,calibrator effect within model,25,11,0
